종목코드,회사명,유동자산,유동부채,투자자산,비유동부채,영업이익,기업가치,시가총액,안전마진율
294870,에이치디씨현대산업개발,3839525000000,2444817000000,574175000000,120761000000,317931000000,4460779370000,1814600000000,145.82714482530585
092870,엑시콘,55732000000,11789000000,15441000000,14760000000,3675000000,88720690000,49700000000,78.51245472837022
039340,한국경제티브이,42254000000,18244000000,1307000000,28728000000,15547000000,252915340000,144700000000,74.78599861782999
018250,애경산업,270605000000,87224000000,13840000000,1229000000,79171000000,1198449340000,1211900000000,-1.1098820034656325
226360,이엑스티,31938000000,6068000000,151000000,6488000000,3455000000,76398780000,103500000000,-26.184753623188406
003000,부광약품,221638000000,38247000000,41926000000,114331000000,35127000000,711893470000,1070500000000,-33.49897524521252
064260,다날,378244000000,176298000000,119822000000,30010000000,8800000000,178047580000,193700000000,-8.080753742901393
068270,셀트리온,1664479000000,678087000000,229761000000,46992000000,338695000000,5111621270000,23869200000000,-78.58486555896302
214870,뉴지랩,48604000000,26497000000,454000000,2917000000,-5555000000,-56995630000,169200000000,-133.68536052009458
005810,풍산홀딩스,179584000000,101578000000,64337000000,510965000000,36543000000,981198280000,297300000000,230.03642112344434
011080,형지아이앤씨,0,0,0,0,0,0,29200000000,-100.0
284740,쿠쿠홈시스,0,0,0,0,0,0,1186900000000,-100.0
050090,휘닉스소재,25386000000,2483000000,3197000000,124000000,-3907000000,-32853170000,61300000000,-153.59407830342576
012200,계양전기,135073000000,54445000000,30711000000,18899000000,8725000000,169069450000,112800000000,49.88426418439717
285130,에스케이케미칼,717166000000,594304000000,630941000000,7178000000,45734000000,-64986960000,675100000000,-109.62627166345726
029960,코엔텍,114519000000,17990000000,29667000000,34000000,29311000000,451515200000,567500000000,-20.437850220264316
282330,비지에프리테일,696072000000,763692000000,197214000000,29823000000,189517000000,2064094420000,3465400000000,-40.43705142263519
004710,한솔테크닉스,215957000000,248944000000,62216000000,575000000,15559000000,40112940000,142600000000,-71.87030855539972
219130,타이거일렉,0,0,0,0,0,0,28200000000,-100.0
057030,와이비엠넷,35677000000,32208000000,3045000000,1030000000,1008000000,5520080000,67900000000,-91.87027982326951
092780,동양피스톤,137291000000,169676000000,52427000000,1725000000,17445000000,99725460000,66000000000,51.09918181818182
005190,동성화학,110880000000,61270000000,9910000000,119000000,6780000000,112224700000,86200000000,30.191067285382832
175140,인포마크,36336000000,27266000000,3220000000,2865000000,-827000000,-10191240000,36000000000,-128.309
065770,씨에스,26757000000,9197000000,759000000,455000000,2284000000,44966070000,54300000000,-17.189558011049723
272450,진에어,426986000000,233662000000,19671000000,9209000000,62981000000,952747320000,613500000000,55.297036674816624
074430,아미노로직스,31898000000,2479000000,1192000000,4961000000,4180000000,88063090000,170400000000,-48.31978286384977
222080,씨아이에스,139768000000,118212000000,10379000000,434000000,-12072000000,-183228080000,110500000000,-265.8172669683258
008930,한미사이언스,244457000000,227222000000,36230000000,599544000000,26155000000,862516120000,4473700000000,-80.72029595189663
077280,한컴지엠디,9708000000,4384000000,17752000000,19185000000,1606000000,26845440000,27100000000,-0.9393357933579335
005500,삼진제약,0,0,0,0,0,0,437200000000,-100.0
220630,해마로푸드서비스,60910000000,48343000000,6528000000,5500000000,23079000000,304470230000,234400000000,29.893442832764507
055490,테이팩스,30445000000,42199000000,24900000000,3000000,7530000000,51260290000,92900000000,-44.822077502691066
224110,에이텍티앤,53012000000,21165000000,4006000000,20195000000,7800000000,145638150000,47200000000,208.55540254237292
066700,테라젠이텍스,105015000000,50571000000,34320000000,10012000000,-3924000000,-36718790000,296500000000,-112.38407757166948
