종목코드,회사명,기업가치
004560,현대비앤지스틸,560632180000.0
056000,신스타임즈,-23736540000.0
089590,제주항공,1060416500000.0
041520,이라이콤,247303320000.0
227840,현대코퍼레이션홀딩스,239281270000.0
009470,삼화전기,97349930000.0
065560,녹원씨엔아이,235750310000.0
079550,엘아이지넥스원,0.0
064240,홈캐스트,-10385880000.0
215360,우리산업,219397750000.0
039570,에이치디씨아이콘트롤스,371786420000.0
215200,메가스터디교육,538459080000.0
066790,씨씨에스충북방송,-54418920000.0
010770,평화홀딩스,-444137420000.0
095570,AJ네트웍스,-1263451370000.0
069080,웹젠,1128532760000.0
215100,로보로보,57401470000.0
007110,일신석재,0.0
214320,이노션,1892864490000.0
067080,대화제약,36981110000.0
016380,동부제철,-2776478100000.0
066590,우수AMS,3372910000.0
214680,디알텍,34673830000.0
010780,아이에스동서,5233447020000.0
214420,토니모리,-75512840000.0
067290,제이더블유신약,-36265360000.0
195990,유지인트,-54451460000.0
002360,SH에너지화학,94849190000.0
215000,골프존,444926400000.0
066130,하츠,0.0
214150,클래시스,230516550000.0
007810,코리아써키트,-61033970000.0
046140,에스비에스콘텐츠허브,153062150000.0
004170,신세계,769448080000.0
214270,퓨쳐스트림네트웍스,87170030000.0
210980,에스케이디앤디,828218220000.0
010060,OCI,1768679290000.0
189690,포시에스,71087950000.0
000520,삼일제약,-131775400000.0
065130,탑엔지니어링,453440590000.0
138250,엔에스쇼핑,509635810000.0
006490,인스코비,76926500000.0
065440,이루온,28589620000.0
145210,세화아이엠씨,-467198230000.0
206640,바디텍메드,111192890000.0
049630,재영솔루텍,-39012890000.0
000720,현대건설,13191450950000.0
208640,썸에이지,-354290160000.0
213500,한솔제지,662015980000.0
021650,한국큐빅,10833060000.0
002710,TCC동양,216997420000.0
193250,와이제이엠게임즈,-28036260000.0
210540,디와이파워,489627420000.0
051370,인터플렉스,-869229240000.0
204630,화이브라더스코리아,12581150000.0
003060,에이프로젠제약,99278730000.0
028260,삼성물산,26476790010000.0
007700,F&F,1403460000000.0
065570,삼영이엔씨,58414440000.0
200670,휴메딕스,186955330000.0
112610,씨에스윈드,472753300000.0
208710,바이오로그디바이스,115801650000.0
066980,브레인콘텐츠,50624840000.0
008700,아남전자,-182446840000.0
018260,삼성SDS,15299193960000.0
189860,서전기전,0.0
204320,만도,1188008780000.0
016100,리더스코스메틱,-184559780000.0
010620,현대미포조선,1301697600000.0
065940,바이오빌,-484605970000.0
006360,GS건설,12230807870000.0
067390,아스트,53827750000.0
200880,서연이화,-217738240000.0
042040,케이피엠테크,45722770000.0
006110,삼아알미늄,38106920000.0
066970,엘앤에프,330896230000.0
080580,오킨스전자,4670740000.0
192400,쿠쿠홀딩스,1398765790000.0
006200,한국전자홀딩스,73435870000.0
006400,삼성SDI,14660010920000.0
066430,와이오엠,0.0
208350,지란지교시큐리티,75916950000.0
027410,비지에프,1582107600000.0
047820,초록뱀미디어,56603160000.0
009150,삼성전기,12850420540000.0
160550,넥스트엔터테인먼트월드,-131408060000.0
192820,코스맥스,299755480000.0
124500,아이티센,101881920000.0
005960,동부건설,566582940000.0
142280,녹십자엠에스,-87342460000.0
064090,에프앤리퍼블릭,166067710000.0
009070,케이씨티시,108719940000.0
185750,종근당,1082602390000.0
049960,쎌바이오텍,361046920000.0
003070,코오롱글로벌,120499220000.0
006880,신송홀딩스,-78617520000.0
187220,디티앤씨,19064120000.0
005180,빙그레,792762460000.0
053290,NE능률,0.0
208370,셀바스헬스케어,-149122760000.0
005250,녹십자홀딩스,654718790000.0
064520,바른전자,-341927320000.0
183190,아세아시멘트,294585820000.0
208140,정다운,154130740000.0
005450,신한,225508280000.0
035600,케이지이니시스,724381770000.0
064350,현대로템,-3403248660000.0
149980,하이로닉,20598300000.0
000480,조선내화,715534200000.0
065170,넥스트비티,50971040000.0
180640,한진칼,1897287010000.0
004310,현대약품,0.0
034230,파라다이스,-1268374610000.0
200710,에이디테크놀로지,195041040000.0
181710,엔에이치엔엔터테인먼트,1536153190000.0
003920,남양유업,557963710000.0
041590,에너전트,-31484490000.0
200780,비씨월드제약,90514640000.0
042600,새로닉스,95121060000.0
008350,남선알미늄,186838250000.0
207760,미스터블루,60063380000.0
065500,오리엔트정공,-78476590000.0
196170,알테오젠,-48652330000.0
003350,한국화장품제조,0.0
060900,퍼시픽바이오,-104101750000.0
206400,엔터메이트,-144877780000.0
155660,DSR,165412230000.0
066620,국보디자인,285807780000.0
011760,현대종합상사,704778170000.0
065420,에스아이리소스,9611870000.0
