기업명: 핸즈코퍼레이션  종목코드: 143210    유동자산: 302451000000    유동부채: 323198000000    고정부채: 61454000000    투자자산: 3381000000    영업이익: 10502000000
기업명: 두산밥캣  종목코드: 241560    유동자산: 1683673000000    유동부채: 963457000000    고정부채: 1743264000000    투자자산: 16626000000    영업이익: 459050000000
기업명: 삼성바이오로직스  종목코드: 207940    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 제이더블유생명과학  종목코드: 234080    유동자산: 68064000000    유동부채: 84707000000    고정부채: 18157000000    투자자산: 501000000    영업이익: 7919000000
기업명: 화승엔터프라이즈  종목코드: 241590    유동자산: 359304000000    유동부채: 407965000000    고정부채: 69366000000    투자자산: 4327000000    영업이익: 40300000000
기업명: LS전선아시아  종목코드: 229640    유동자산: 240221000000    유동부채: 189517000000    고정부채: 16484000000    투자자산: 294000000    영업이익: 17966000000
기업명: 모두투어자기관리부동산투자회사  종목코드: 204210    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 일동제약  종목코드: 249420    유동자산: 210456000000    유동부채: 162897000000    고정부채: 124947000000    투자자산: 9971000000    영업이익: 28343000000
기업명: 샘표식품  종목코드: 248170    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 두올  종목코드: 016740    유동자산: 181999000000    유동부채: 132241000000    고정부채: 50432000000    투자자산: 243000000    영업이익: 30656000000
기업명: 동서  종목코드: 026960    유동자산: 730119000000    유동부채: 80667000000    고정부채: 81746000000    투자자산: 582153000000    영업이익: 11674000000
기업명: 한국자산신탁  종목코드: 123890    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 한국토지신탁  종목코드: 034830    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 해성디에스  종목코드: 195870    유동자산: 112943000000    유동부채: 66542000000    고정부채: 46749000000    투자자산: 5966000000    영업이익: 449000000
기업명: 용평리조트  종목코드: 070960    유동자산: 103997000000    유동부채: 187144000000    고정부채: 211461000000    투자자산: 1202000000    영업이익: 24563000000
기업명: 해태제과식품  종목코드: 101530    유동자산: 179054000000    유동부채: 289900000000    고정부채: 249014000000    투자자산: 25801000000    영업이익: 1777000000
기업명: 대림씨엔에스  종목코드: 004440    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 제이에스코퍼레이션  종목코드: 194370    유동자산: 124297000000    유동부채: 32867000000    고정부채: 1345000000    투자자산: 2330000000    영업이익: 4477000000
기업명: 코리아오토글라스  종목코드: 152330    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 잇츠한불  종목코드: 226320    유동자산: 390708000000    유동부채: 51933000000    고정부채: 8902000000    투자자산: 2358000000    영업이익: 19913000000
기업명: 세진중공업  종목코드: 075580    유동자산: 122843000000    유동부채: 226903000000    고정부채: 22674000000    투자자산: 1021000000    영업이익: 3024000000
기업명: 금호에이치티  종목코드: 214330    유동자산: 155547000000    유동부채: 66660000000    고정부채: 46868000000    투자자산: 3333000000    영업이익: 10493000000
기업명: 제주항공  종목코드: 089590    유동자산: 521862000000    유동부채: 505484000000    고정부채: 555611000000    투자자산: 2407000000    영업이익: 56970000000
기업명: 현대코퍼레이션홀딩스  종목코드: 227840    유동자산: 97626000000    유동부채: 20357000000    고정부채: 170000000    투자자산: 63069000000    영업이익: 7896000000
기업명: 엘아이지넥스원  종목코드: 079550    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 에이치디씨아이콘트롤스  종목코드: 039570    유동자산: 151668000000    유동부채: 71832000000    고정부채: 10583000000    투자자산: 128134000000    영업이익: 14679000000
기업명: 동일제강  종목코드: 002690    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: AJ네트웍스  종목코드: 095570    유동자산: 1501059000000    유동부채: 1592613000000    고정부채: 474261000000    투자자산: 47272000000    영업이익: -21282000000
기업명: 이노션  종목코드: 214320    유동자산: 1575743000000    유동부채: 934039000000    고정부채: 65058000000    투자자산: 15216000000    영업이익: 118186000000
기업명: 토니모리  종목코드: 214420    유동자산: 100465000000    유동부채: 57376000000    고정부채: 41284000000    투자자산: 6300000000    영업이익: -5036000000
기업명: 미래에셋생명  종목코드: 085620    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 경보제약  종목코드: 214390    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 에스케이디앤디  종목코드: 210980    유동자산: 914308000000    유동부채: 732672000000    고정부채: 409599000000    투자자산: 136866000000    영업이익: 85097000000
기업명: 엔에스쇼핑  종목코드: 138250    유동자산: 123140000000    유동부채: 219411000000    고정부채: 153366000000    투자자산: 9341000000    영업이익: 61170000000
기업명: 세화아이엠씨  종목코드: 145210    유동자산: 69958000000    유동부채: 129777000000    고정부채: 14177000000    투자자산: 3573000000    영업이익: -27003000000
기업명: 한솔제지  종목코드: 213500    유동자산: 633203000000    유동부채: 817388000000    고정부채: 397935000000    투자자산: 157000000    영업이익: 111355000000
기업명: 디와이파워  종목코드: 210540    유동자산: 162611000000    유동부채: 101388000000    고정부채: 17654000000    투자자산: 2605000000    영업이익: 10671000000
기업명: 삼성물산  종목코드: 028260    유동자산: 13671292000000    유동부채: 13016831000000    고정부채: 6840886000000    투자자산: 21756359000000    영업이익: 1103890000000
기업명: 씨에스윈드  종목코드: 112610    유동자산: 386706000000    유동부채: 225780000000    고정부채: 62097000000    투자자산: 3892000000    영업이익: 32745000000
기업명: 삼성SDS  종목코드: 018260    유동자산: 5881776000000    유동부채: 1574796000000    고정부채: 290501000000    투자자산: 70571000000    영업이익: 877356000000
기업명: 만도  종목코드: 204320    유동자산: 2143366000000    유동부채: 1793935000000    고정부채: 1325023000000    투자자산: 76841000000    영업이익: 32092000000
기업명: 서연이화  종목코드: 200880    유동자산: 853176000000    유동부채: 864896000000    고정부채: 164717000000    투자자산: 61330000000    영업이익: 11142000000
기업명: 쿠쿠홀딩스  종목코드: 192400    유동자산: 247422000000    유동부채: 90079000000    고정부채: 47497000000    투자자산: 412119000000    영업이익: 67889000000
기업명: 화인베스틸  종목코드: 133820    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 비지에프  종목코드: 027410    유동자산: 315225000000    유동부채: 57670000000    고정부채: 34991000000    투자자산: 984277000000    영업이익: 29473000000
기업명: 코스맥스  종목코드: 192820    유동자산: 595770000000    유동부채: 650448000000    고정부채: 169247000000    투자자산: 16215000000    영업이익: 52338000000
기업명: 종근당  종목코드: 185750    유동자산: 390331000000    유동부채: 204509000000    고정부채: 76086000000    투자자산: 24832000000    영업이익: 75740000000
기업명: 신송홀딩스  종목코드: 006880    유동자산: 39367000000    유동부채: 35918000000    고정부채: 44289000000    투자자산: 12153000000    영업이익: -2971000000
기업명: 아세아시멘트  종목코드: 183190    유동자산: 405593000000    유동부채: 226322000000    고정부채: 916446000000    투자자산: 44114000000    영업이익: 79194000000
기업명: 현대로템  종목코드: 064350    유동자산: 2573162000000    유동부채: 1729464000000    고정부채: 1164692000000    투자자산: 28311000000    영업이익: -196167000000
기업명: 한진칼  종목코드: 180640    유동자산: 854305000000    유동부채: 652071000000    고정부채: 475460000000    투자자산: 912680000000    영업이익: 108792000000
기업명: 엔에이치엔엔터테인먼트  종목코드: 181710    유동자산: 1006318000000    유동부채: 562479000000    고정부채: 112135000000    투자자산: 454696000000    영업이익: 68637000000
