종목코드,회사명,유동자산,유동부채,투자자산,비유동부채,영업이익
168490,한국투자패러랠유전해외자원개발특별자산투자회사1호,0,0,0,0,0
170900,동아에스티,426486000000,268985000000,100325000000,82055000000,39435000000
013870,지엠비코리아,208837000000,164602000000,79484000000,28410000000,4123000000
037560,CJ헬로,352159000000,491499000000,437387000000,6791000000,12986000000
163560,동일고무벨트,154897000000,81730000000,16021000000,729000000,12107000000
161890,한국콜마,589427000000,439061000000,980996000000,17157000000,31693000000
161390,한국타이어,4084564000000,2558057000000,907147000000,1134440000000,140616000000
161000,애경유화,302833000000,147416000000,9109000000,33260000000,52022000000
159650,하이골드오션8호국제선박투자회사,0,0,0,0,0
068400,에이제이렌터카,0,0,0,0,0
155900,바다로19호선박투자회사,0,0,0,0,0
014710,사조씨푸드,0,0,0,0,0
153360,하이골드오션3호선박투자회사,0,0,0,0,0
144620,코오롱머티리얼,0,0,0,0,0
152550,한국투자ANKOR유전해외자원개발특별자산투자회사1호,0,0,0,0,0
079980,휴비스,364112000000,416740000000,117325000000,135158000000,2901000000
145270,케이탑자기관리부동산투자회사,0,0,0,0,0
007070,GS리테일,709522000000,1720408000000,920124000000,187855000000,180259000000
129260,인터지스,179145000000,174365000000,72386000000,9767000000,9421000000
145990,삼양사,652082000000,473819000000,434087000000,229669000000,96967000000
039130,하나투어,497711000000,413590000000,62652000000,18079000000,24869000000
078520,에이블씨엔씨,264765000000,65315000000,3950000000,3003000000,-18959000000
023000,삼원강재,0,0,0,0,0
031430,신세계인터내셔날,403700000000,246154000000,191483000000,104455000000,55524000000
140910,에이자기관리부동산투자회사,0,0,0,0,0
047810,한국항공우주산업,2409544000000,1667808000000,1035150000000,37807000000,146383000000
071840,롯데하이마트,0,0,0,0,0
069640,한세엠케이,0,0,0,0,0
138490,코오롱플라스틱,120771000000,99088000000,44539000000,52859000000,19372000000
139480,이마트,3444229000000,6254353000000,4602538000000,2503243000000,74292000000
139130,DGB금융지주,0,0,0,0,0
053210,케이티스카이라이프,301739000000,112411000000,37430000000,129195000000,66735000000
019440,세아특수강,323210000000,162723000000,12220000000,85000000,19690000000
138040,메리츠금융지주,0,0,0,0,0
023350,한국종합기술,0,0,0,0,0
138930,BNK금융지주,0,0,0,0,0
020150,일진머티리얼즈,357483000000,109017000000,54776000000,42359000000,48721000000
